No.,tL,tR
true,0.884956,1.149425
0,0.709132,1.695419
1,0.702125,1.736856
2,0.696503,1.772244
3,0.730494,1.584629
4,0.725599,1.608161
5,0.754326,1.482991
6,0.726126,1.605580
7,0.747237,1.511174
8,0.765805,1.440539
9,0.739949,1.541888
10,0.763645,1.448244
11,0.735639,1.560947
12,0.752914,1.488478
13,0.825855,1.267212
14,0.764948,1.443580
15,0.711661,1.681135
16,0.752238,1.491127
17,0.714263,1.666790
18,0.769506,1.427623
19,0.744773,1.521354
20,0.725410,1.609090
21,0.739074,1.545702
22,0.760167,1.460922
23,0.737915,1.550795
24,0.722559,1.623296
25,0.773776,1.413155
26,0.779922,1.393105
27,0.700702,1.745629
28,0.732143,1.576922
29,0.774524,1.410666
30,0.715549,1.659830
31,0.731882,1.578134
32,0.783144,1.382942
33,0.765889,1.440240
34,0.758105,1.468596
35,0.768309,1.431761
36,0.721179,1.630307
37,0.720507,1.633750
38,0.770474,1.424304
39,0.755361,1.479008
40,0.743711,1.525805
41,0.753772,1.485137
42,0.706944,1.708055
43,0.723352,1.619308
44,0.740832,1.538067
45,0.748513,1.505984
46,0.741352,1.535831
47,0.727519,1.598808
48,0.762698,1.451665
49,0.707638,1.704020
50,0.701615,1.739988
51,0.703709,1.727239
52,0.791432,1.357832
53,0.767315,1.435225
54,0.749061,1.503770
55,0.755906,1.476923
56,0.745979,1.516348
57,0.727833,1.597293
58,0.764087,1.446656
59,0.698902,1.756901
60,0.713991,1.668274
61,0.718854,1.642316
62,0.770110,1.425548
63,0.736438,1.557361
64,0.718882,1.642169
65,0.748515,1.505975
66,0.759797,1.462289
67,0.700199,1.748760
68,0.724027,1.615935
69,0.726788,1.602351
70,0.685548,1.847363
71,0.734249,1.567242
72,0.830966,1.255364
73,0.743257,1.527721
74,0.765547,1.441452
75,0.751411,1.494388
76,0.773460,1.414211
77,0.737880,1.550949
78,0.774057,1.412220
79,0.719304,1.639972
80,0.775699,1.406785
81,0.726486,1.603822
82,0.724267,1.614742
83,0.765982,1.439912
84,0.735393,1.562054
85,0.730315,1.585469
86,0.760811,1.458549
87,0.706072,1.713171
88,0.714432,1.665872
89,0.717142,1.651318
90,0.767925,1.433097
91,0.718349,1.644957
92,0.760652,1.459134
93,0.714459,1.665724
94,0.701863,1.738461
95,0.705461,1.716775
96,0.722551,1.623340
97,0.755070,1.480124
98,0.754667,1.481674
99,0.722738,1.622394
100,0.772490,1.417466
101,0.750246,1.499018
102,0.717789,1.647900
103,0.736174,1.558540
104,0.712726,1.675219
105,0.735761,1.560394
106,0.711757,1.680599
107,0.722216,1.625030
108,0.752448,1.490304
109,0.814199,1.295675
110,0.710249,1.689068
111,0.763244,1.449690
112,0.750058,1.499770
113,0.751479,1.494118
114,0.739645,1.543210
115,0.701206,1.742505
116,0.735112,1.563322
117,0.747472,1.510214
118,0.716078,1.656988
119,0.737692,1.551783
120,0.819467,1.282552
121,0.757134,1.472255
122,0.733068,1.572649
123,0.782367,1.385373
124,0.739847,1.542331
125,0.716669,1.653836
126,0.724519,1.613490
127,0.757985,1.469049
128,0.760228,1.460695
129,0.753586,1.485860
130,0.749261,1.502963
131,0.730600,1.584129
132,0.733835,1.569129
133,0.740730,1.538509
134,0.703389,1.729173
135,0.810353,1.305534
136,0.740559,1.539248
137,0.763957,1.447124
138,0.764473,1.445277
139,0.752932,1.488409
140,0.776962,1.402650
141,0.751567,1.493773
142,0.729621,1.588748
143,0.738723,1.547238
144,0.743795,1.525450
145,0.762475,1.452473
146,0.757428,1.471147
147,0.709172,1.695186
148,0.756727,1.473797
149,0.717311,1.650426
150,0.753482,1.486263
151,0.683010,1.866045
152,0.763161,1.449989
153,0.806506,1.315644
154,0.767127,1.435884
155,0.755896,1.476960
156,0.748316,1.506780
157,0.725643,1.607946
158,0.826957,1.264626
159,0.699107,1.755609
160,0.723479,1.618676
161,0.715285,1.661250
162,0.734957,1.564023
163,0.750547,1.497816
164,0.775856,1.406269
165,0.741711,1.534295
166,0.744793,1.521270
167,0.751854,1.492639
168,0.729825,1.587786
169,0.752595,1.489727
170,0.777924,1.399527
171,0.719100,1.641031
172,0.706978,1.707856
173,0.757351,1.471437
174,0.772234,1.418327
175,0.725573,1.608290
