No.,tL,tR
true,0.884956,1.149425
0,0.714972,1.662945
1,0.702130,1.736826
2,0.695746,1.777166
3,0.715763,1.658677
4,0.727781,1.597547
5,0.757314,1.471575
6,0.718645,1.643406
7,0.744288,1.523383
8,0.767708,1.433852
9,0.736060,1.559054
10,0.761400,1.456387
11,0.735399,1.562029
12,0.749712,1.501155
13,0.827831,1.262588
14,0.768455,1.431255
15,0.709349,1.694179
16,0.749867,1.500533
17,0.714988,1.662856
18,0.766353,1.438604
19,0.740698,1.538647
20,0.725121,1.610512
21,0.736083,1.558951
22,0.754755,1.481336
23,0.742372,1.531472
24,0.713591,1.670459
25,0.775975,1.405879
26,0.777777,1.400002
27,0.699453,1.753431
28,0.727039,1.601130
29,0.777471,1.400996
30,0.716709,1.653622
31,0.726444,1.604024
32,0.784499,1.378737
33,0.752901,1.488527
34,0.758841,1.465843
35,0.765301,1.442326
36,0.717706,1.648338
37,0.719507,1.638916
38,0.773296,1.414760
39,0.750997,1.496026
40,0.741442,1.535445
41,0.751537,1.493889
42,0.695167,1.780955
43,0.722188,1.625175
44,0.738278,1.549196
45,0.751315,1.494767
46,0.741970,1.533186
47,0.723548,1.618328
48,0.766429,1.438336
49,0.703825,1.726541
50,0.703860,1.726335
51,0.709320,1.694346
52,0.795930,1.344793
53,0.760145,1.461004
54,0.756242,1.475642
55,0.755715,1.477649
56,0.749408,1.502373
57,0.722514,1.623526
58,0.758928,1.465518
59,0.695399,1.779434
60,0.713580,1.670522
61,0.719659,1.638127
62,0.759141,1.464724
63,0.740202,1.540789
64,0.712907,1.674222
65,0.750538,1.497854
66,0.754562,1.482081
67,0.705592,1.716000
68,0.722644,1.622870
69,0.723492,1.618607
70,0.685969,1.844313
71,0.733002,1.572951
72,0.831101,1.255058
73,0.742826,1.529544
74,0.761403,1.456377
75,0.753878,1.484725
76,0.765334,1.442208
77,0.737160,1.554138
78,0.768483,1.431156
79,0.715094,1.662285
80,0.772912,1.416045
81,0.729589,1.588903
82,0.729482,1.589409
83,0.768184,1.432197
84,0.736802,1.555734
85,0.729648,1.588624
86,0.757967,1.469118
87,0.704608,1.721847
88,0.709395,1.693916
89,0.712027,1.679094
90,0.764264,1.446024
91,0.720406,1.634269
92,0.762439,1.452602
93,0.709155,1.695285
94,0.704894,1.720143
95,0.702569,1.734148
96,0.724619,1.612996
97,0.754543,1.482151
98,0.756334,1.475289
99,0.721084,1.630794
100,0.769799,1.426615
101,0.751610,1.493601
102,0.715235,1.661523
103,0.737929,1.550734
104,0.710858,1.685633
105,0.732793,1.573914
106,0.713267,1.672239
107,0.728278,1.595158
108,0.753495,1.486213
109,0.813727,1.296871
110,0.713015,1.673628
111,0.762096,1.453849
112,0.744866,1.520966
113,0.748010,1.508022
114,0.746983,1.512213
115,0.698028,1.762446
116,0.732458,1.575461
117,0.745415,1.518685
118,0.720943,1.631516
119,0.732391,1.575775
120,0.816107,1.290872
121,0.756122,1.476097
122,0.731660,1.579167
123,0.774281,1.411475
124,0.736270,1.558109
125,0.716125,1.656739
126,0.720475,1.633915
127,0.758057,1.468778
128,0.760655,1.459121
129,0.750300,1.498800
130,0.747008,1.512114
131,0.718295,1.645239
132,0.726155,1.605435
133,0.732019,1.577496
134,0.706797,1.708917
135,0.812792,1.299253
136,0.737986,1.550480
137,0.762966,1.450694
138,0.764243,1.446098
139,0.748809,1.504786
140,0.772347,1.417945
141,0.748675,1.505327
142,0.724185,1.615150
143,0.734684,1.565260
144,0.736497,1.557096
145,0.758026,1.468896
146,0.755402,1.478848
147,0.699289,1.754461
148,0.757867,1.469492
149,0.710905,1.685370
150,0.750137,1.499451
151,0.686084,1.843480
152,0.762885,1.450985
153,0.809729,1.307156
154,0.750786,1.496868
155,0.753392,1.486612
156,0.745316,1.519092
157,0.734863,1.564450
158,0.825255,1.268627
159,0.701782,1.738958
160,0.721943,1.626415
161,0.714588,1.665021
162,0.737444,1.552879
163,0.742363,1.531512
164,0.763014,1.450521
165,0.737859,1.551041
166,0.742011,1.533009
167,0.751392,1.494462
168,0.727358,1.599587
169,0.744795,1.521263
170,0.777868,1.399709
171,0.716516,1.654646
172,0.704394,1.723126
173,0.751966,1.492196
174,0.765677,1.440991
175,0.717038,1.651871
176,0.808695,1.309862
177,0.741930,1.533356
178,0.772948,1.415924
179,0.750208,1.499170
180,0.698336,1.760487
181,0.734645,1.565438
182,0.682101,1.872863
183,0.725210,1.610073
184,0.744675,1.521765
185,0.710484,1.687740
186,0.722370,1.624250
187,0.724720,1.612498
188,0.734990,1.563875
189,0.782235,1.385786
190,0.725493,1.608683
191,0.783378,1.382214
192,0.752618,1.489635
193,0.685120,1.850474
194,0.715738,1.658816
195,0.766556,1.437889
