No.,tL,tR
true,0.833333,1.250000
0,0.878571,1.160378
1,0.858253,1.197831
2,0.852607,1.209005
3,0.840641,1.233911
4,0.890646,1.139966
5,0.881345,1.155575
6,0.848033,1.218322
7,0.861641,1.191293
8,0.915975,1.100997
9,0.857485,1.199330
10,0.887351,1.145409
11,0.902838,1.120598
12,0.881945,1.154545
13,0.909202,1.110945
14,0.884576,1.150066
15,0.853032,1.208150
16,0.874653,1.167285
17,0.863112,1.188492
18,0.889009,1.142658
19,0.901890,1.122061
20,0.850200,1.213878
21,0.857998,1.198327
22,0.894895,1.133079
23,0.871652,1.172672
24,0.845056,1.224520
25,0.871443,1.173051
26,0.914257,1.103490
27,0.841517,1.232027
28,0.861496,1.191570
29,0.923616,1.090157
30,0.865757,1.183514
31,0.887653,1.144906
32,0.889270,1.142228
33,0.882467,1.153651
34,0.880417,1.157173
35,0.907651,1.113270
36,0.871225,1.173447
37,0.854741,1.204739
38,0.875505,1.165771
39,0.898806,1.126872
40,0.878916,1.159776
41,0.871152,1.173578
42,0.839893,1.235526
43,0.873755,1.168888
44,0.865099,1.184746
45,0.870660,1.174472
46,0.886399,1.146999
47,0.855538,1.203159
48,0.854725,1.204771
49,0.815720,1.291842
50,0.839517,1.236339
51,0.854640,1.204941
52,0.904001,1.118811
53,0.880419,1.157170
54,0.863486,1.187785
55,0.895419,1.132240
56,0.868503,1.178420
57,0.885050,1.149267
58,0.910963,1.108327
59,0.839651,1.236050
60,0.897123,1.129528
61,0.880880,1.156375
62,0.879131,1.159403
63,0.880278,1.157414
64,0.855164,1.203899
65,0.862609,1.189448
66,0.873472,1.169395
67,0.829661,1.258356
68,0.854529,1.205161
69,0.864831,1.185248
70,0.839801,1.235725
71,0.880726,1.156640
72,0.900665,1.123962
73,0.892596,1.136787
74,0.872137,1.171796
75,0.896914,1.129860
76,0.907874,1.112934
77,0.841552,1.231953
78,0.899485,1.125806
79,0.879300,1.159108
80,0.904432,1.118151
81,0.822212,1.275888
82,0.848811,1.216721
83,0.858980,1.196418
84,0.882289,1.153955
85,0.884154,1.150781
86,0.892926,1.136252
87,0.847431,1.219568
88,0.841996,1.231003
89,0.855498,1.203238
90,0.894459,1.133779
91,0.886379,1.147033
92,0.883474,1.151934
93,0.844603,1.225472
94,0.874916,1.166816
95,0.857626,1.199054
96,0.853137,1.207941
97,0.878382,1.160708
98,0.876297,1.164369
99,0.839317,1.236774
100,0.882986,1.152765
101,0.889643,1.141613
102,0.865698,1.183624
103,0.862188,1.190250
104,0.870208,1.175296
105,0.874621,1.167341
106,0.863366,1.188011
107,0.857376,1.199543
108,0.861577,1.191415
109,0.898900,1.126723
110,0.856123,1.202004
111,0.895322,1.132395
112,0.868226,1.178930
113,0.841938,1.231126
114,0.869402,1.176770
115,0.837365,1.241037
116,0.840979,1.233184
117,0.860661,1.193171
118,0.858317,1.197705
119,0.842567,1.229784
120,0.899974,1.125041
121,0.864793,1.185321
122,0.848352,1.217665
123,0.874100,1.168270
124,0.877989,1.161396
125,0.859233,1.195928
126,0.832302,1.252328
127,0.833290,1.250098
128,0.895419,1.132240
129,0.868684,1.178088
130,0.872007,1.172031
131,0.863538,1.187685
132,0.851190,1.211865
133,0.875150,1.166400
134,0.854247,1.205722
135,0.896497,1.130522
136,0.856538,1.201188
137,0.896271,1.130881
138,0.887792,1.144675
139,0.861820,1.190951
140,0.905700,1.116219
141,0.883639,1.151655
142,0.862887,1.188920
143,0.845602,1.223375
144,0.871857,1.172301
145,0.884109,1.150857
146,0.894508,1.133700
147,0.848329,1.217713
148,0.872954,1.170323
149,0.833699,1.249178
150,0.907675,1.113234
151,0.842272,1.230414
152,0.887401,1.145326
153,0.919352,1.096157
154,0.881045,1.156090
155,0.901879,1.122077
156,0.880400,1.157203
157,0.862366,1.189911
158,0.967624,1.034618
159,0.828190,1.261754
160,0.856399,1.201461
161,0.816648,1.289521
162,0.887830,1.144612
163,0.881382,1.155510
164,0.881263,1.155715
165,0.849946,1.214397
166,0.878710,1.160136
167,0.912652,1.105838
168,0.873467,1.169403
169,0.843339,1.228144
170,0.877906,1.161540
171,0.822360,1.275531
172,0.845642,1.223291
173,0.841153,1.232809
174,0.883472,1.151938
175,0.858451,1.197445
176,0.884519,1.150163
177,0.871373,1.173178
178,0.904500,1.118047
179,0.846550,1.221397
180,0.844871,1.224909
181,0.883431,1.152008
182,0.826693,1.265244
183,0.895858,1.131540
184,0.845538,1.223510
185,0.864495,1.185880
186,0.867493,1.180284
187,0.876536,1.163947
188,0.864979,1.184971
189,0.881886,1.154646
190,0.929784,1.081688
191,0.854796,1.204630
192,0.873037,1.170175
193,0.820526,1.279967
194,0.866942,1.181307
195,0.858853,1.196665
196,0.888207,1.143986
197,0.842226,1.230511
198,0.869543,1.176511
199,0.832595,1.251666
200,0.869714,1.176199
201,0.865118,1.184711
202,0.893067,1.136024
203,0.874417,1.167704
204,0.931613,1.079223
205,0.879582,1.158620
