No.,tL,tR
true,0.862069,1.190476
0,0.839040,1.237375
1,0.855297,1.203638
2,0.834263,1.247914
3,0.842174,1.230621
4,0.861594,1.191383
5,0.842524,1.229876
6,0.834577,1.247213
7,0.842404,1.230132
8,0.886915,1.146138
9,0.817088,1.288425
10,0.832970,1.250818
11,0.870455,1.174845
12,0.856004,1.202240
13,0.866229,1.182633
14,0.871194,1.173502
15,0.811419,1.302776
16,0.858447,1.197454
17,0.817072,1.288464
18,0.867915,1.179505
19,0.878081,1.161235
20,0.822317,1.275633
21,0.857821,1.198674
22,0.847923,1.218550
23,0.847699,1.219014
24,0.876703,1.163652
25,0.860307,1.193852
26,0.887930,1.144447
27,0.876971,1.163180
28,0.820495,1.280043
29,0.848480,1.217401
30,0.843920,1.226913
31,0.778054,1.399106
32,0.848313,1.217745
33,0.869226,1.177091
34,0.822210,1.275891
35,0.846659,1.221170
36,0.810101,1.306188
37,0.867759,1.179794
38,0.886572,1.146709
39,0.914174,1.103611
40,0.830267,1.256963
41,0.837216,1.241365
42,0.785558,1.375480
43,0.861137,1.192258
44,0.870139,1.175423
45,0.884967,1.149406
46,0.888376,1.143706
47,0.838298,1.238994
48,0.863416,1.187916
49,0.839936,1.235433
50,0.770038,1.425796
51,0.805854,1.317384
52,0.830684,1.256009
53,0.842445,1.230045
54,0.841059,1.233011
55,0.853595,1.207024
56,0.871919,1.172189
57,0.820673,1.279610
58,0.878893,1.159816
59,0.806802,1.314859
60,0.866752,1.181659
61,0.830186,1.257149
62,0.888109,1.144149
63,0.858239,1.197859
64,0.824964,1.269316
65,0.838340,1.238902
66,0.832492,1.251898
67,0.829985,1.257611
68,0.810882,1.304162
69,0.813216,1.298172
70,0.809789,1.307000
71,0.850602,1.213059
72,0.892259,1.137335
73,0.846816,1.220844
74,0.895824,1.131594
75,0.895329,1.132384
76,0.838562,1.238418
77,0.831614,1.253888
78,0.852414,1.209394
79,0.812021,1.301227
80,0.828067,1.262040
81,0.802320,1.326938
82,0.857748,1.198817
83,0.873424,1.169481
84,0.870940,1.173964
85,0.899318,1.126067
86,0.838812,1.237871
87,0.843102,1.228647
88,0.843773,1.227225
89,0.828933,1.260033
90,0.889402,1.142010
91,0.875209,1.166296
92,0.851250,1.211743
93,0.807197,1.313811
94,0.810242,1.305822
95,0.821389,1.277874
96,0.863686,1.187406
97,0.866578,1.181984
98,0.873823,1.168765
99,0.865501,1.183993
100,0.882161,1.154175
101,0.873754,1.168889
102,0.799862,1.333716
103,0.840055,1.235174
104,0.807868,1.312036
105,0.807624,1.312680
106,0.828055,1.262067
107,0.830146,1.257241
108,0.869165,1.177203
109,0.858639,1.197079
110,0.820245,1.280653
111,0.857018,1.200245
112,0.827537,1.263272
113,0.806378,1.315986
114,0.855505,1.203225
115,0.798357,1.337924
116,0.813090,1.298493
117,0.834436,1.247528
118,0.809177,1.308599
119,0.821507,1.277588
120,0.887417,1.145300
121,0.851156,1.211933
122,0.822245,1.275808
123,0.863188,1.188349
124,0.836718,1.242461
125,0.849816,1.214662
126,0.821910,1.276616
127,0.850431,1.213407
128,0.902088,1.121754
129,0.881528,1.155260
130,0.904660,1.117802
131,0.846571,1.221353
132,0.847816,1.218772
133,0.847012,1.220436
134,0.792938,1.353422
135,0.871008,1.173839
136,0.872436,1.171257
137,0.865379,1.184221
138,0.842436,1.230064
139,0.931228,1.079740
140,0.866327,1.182451
141,0.806687,1.315162
142,0.804234,1.321736
143,0.837717,1.240265
144,0.878682,1.160184
145,0.896115,1.131131
146,0.863741,1.187302
147,0.870548,1.174677
148,0.874841,1.166949
149,0.822984,1.274032
150,0.858048,1.198230
151,0.832469,1.251949
152,0.840134,1.235004
153,0.848429,1.217506
154,0.911447,1.107612
155,0.920736,1.094197
156,0.836010,1.244025
157,0.847361,1.219712
158,0.923517,1.090295
159,0.853140,1.207935
160,0.797760,1.339603
161,0.835631,1.244866
162,0.840032,1.235224
163,0.906193,1.115470
164,0.863781,1.187226
165,0.808715,1.309809
166,0.809174,1.308607
167,0.864338,1.186177
168,0.878281,1.160885
169,0.829037,1.259793
170,0.864206,1.186426
171,0.807800,1.312216
172,0.825378,1.268338
173,0.811216,1.303300
174,0.861464,1.191631
175,0.816516,1.289850
176,0.910822,1.108535
177,0.888329,1.143784
178,0.880634,1.156798
179,0.863245,1.188240
180,0.826925,1.264702
181,0.898474,1.127394
182,0.801645,1.328790
183,0.868832,1.177816
184,0.811245,1.303227
185,0.835674,1.244770
186,0.836323,1.243334
187,0.852935,1.208346
188,0.844044,1.226652
189,0.870409,1.174929
190,0.878288,1.160872
191,0.819223,1.283151
192,0.894369,1.133924
193,0.810835,1.304284
194,0.861303,1.191939
195,0.821115,1.278537
196,0.826592,1.265481
197,0.850083,1.214117
198,0.808401,1.310633
199,0.819480,1.282522
200,0.814185,1.295709
201,0.832950,1.250863
202,0.781155,1.389188
203,0.786519,1.372544
204,0.839813,1.235698
205,0.829320,1.259140
206,0.793363,1.352187
207,0.839596,1.236169
208,0.863180,1.188363
209,0.796621,1.342825
210,0.800913,1.330806
211,0.870228,1.175260
212,0.829331,1.259114
213,0.871575,1.172811
214,0.891132,1.139171
215,0.848254,1.217866
216,0.848032,1.218324
217,0.801084,1.330333
218,0.802131,1.327456
219,0.854843,1.204536
220,0.835208,1.245806
221,0.830930,1.255446
222,0.809515,1.307715
223,0.834355,1.247709
224,0.836870,1.242127
225,0.858588,1.197178
226,0.840250,1.234754
227,0.868971,1.177560
228,0.913108,1.105169
229,0.906460,1.115067
230,0.881437,1.155417
231,0.864338,1.186177
232,0.838450,1.238662
233,0.828171,1.261797
234,0.793872,1.350711
235,0.856543,1.201177
236,0.911426,1.107642
237,0.802599,1.326177
238,0.869010,1.177489
239,0.811924,1.301477
240,0.880493,1.157042
241,0.896505,1.130510
242,0.767589,1.434270
243,0.807635,1.312652
244,0.812130,1.300948
245,0.836916,1.242025
246,0.869391,1.176790
247,0.811491,1.302591
248,0.869917,1.175827
249,0.887382,1.145358
250,0.866592,1.181956
251,0.835589,1.244959
252,0.842860,1.229160
253,0.892573,1.136825
254,0.865984,1.183090
255,0.811962,1.301381
256,0.781622,1.387713
257,0.853686,1.206842
258,0.811992,1.301301
259,0.816218,1.290593
260,0.891355,1.138806
261,0.872676,1.170824
262,0.835722,1.244664
263,0.868013,1.179323
264,0.846535,1.221429
265,0.854790,1.204642
266,0.892214,1.137407
267,0.866451,1.182219
268,0.852727,1.208764
269,0.844970,1.224701
270,0.754897,1.480787
271,0.789127,1.364673
272,0.819684,1.282023
273,0.882835,1.153022
274,0.811431,1.302747
275,0.834364,1.247689
276,0.888927,1.142794
277,0.803774,1.322980
278,0.851911,1.210408
279,0.873204,1.169874
280,0.811916,1.301497
281,0.877901,1.161548
282,0.815053,1.293518
283,0.831369,1.254446
284,0.874535,1.167495
285,0.812631,1.299665
286,0.911174,1.108015
287,0.859452,1.195503
288,0.807019,1.314283
289,0.835377,1.245429
290,0.837692,1.240320
291,0.907125,1.114063
292,0.848865,1.216610
293,0.803048,1.324951
294,0.834460,1.247473
295,0.787286,1.370212
296,0.880912,1.156320
297,0.802586,1.326212
298,0.817813,1.286626
299,0.813953,1.296298
300,0.848115,1.218153
301,0.811950,1.301409
302,0.839757,1.235820
303,0.828228,1.261665
304,0.835485,1.245189
305,0.872378,1.171361
306,0.846167,1.222194
307,0.861172,1.192190
308,0.822685,1.274750
309,0.877836,1.161662
310,0.898803,1.126875
311,0.876394,1.164198
312,0.878933,1.159747
313,0.841083,1.232959
314,0.903078,1.120228
315,0.815911,1.291362
316,0.836606,1.242708
317,0.873243,1.169805
318,0.830213,1.257087
319,0.786462,1.372716
320,0.846377,1.221757
321,0.873140,1.169990
322,0.877405,1.162418
323,0.876075,1.164760
324,0.840751,1.233674
325,0.822106,1.276142
326,0.902973,1.120388
327,0.853233,1.207748
328,0.886757,1.146401
329,0.843594,1.227602
330,0.889410,1.141997
331,0.821138,1.278482
332,0.824838,1.269615
333,0.817554,1.287269
334,0.891267,1.138949
335,0.857639,1.199030
336,0.854525,1.205170
337,0.859096,1.196192
338,0.878745,1.160074
339,0.825508,1.268031
340,0.823987,1.271636
341,0.856955,1.200369
342,0.886952,1.146074
343,0.816354,1.290255
344,0.761152,1.457296
