No.,tL,tR
true,0.884956,1.149425
0,0.881944,1.154545
1,0.840081,1.235121
2,0.825730,1.267506
3,0.876672,1.163708
4,0.776447,1.404333
5,0.916621,1.100068
6,0.903221,1.120008
7,0.860212,1.194036
8,0.840217,1.234826
9,0.844416,1.225866
10,0.928597,1.083299
11,0.837491,1.240763
12,0.963582,1.039277
13,0.861886,1.190825
14,0.836809,1.242261
15,0.960470,1.042924
16,0.912636,1.105862
17,0.774691,1.410113
18,0.923488,1.090334
19,0.782238,1.385779
20,0.857918,1.198483
21,0.934848,1.074913
22,0.879207,1.159272
23,0.923604,1.090176
24,0.802154,1.327392
25,0.863322,1.188096
26,0.807427,1.313201
27,0.902196,1.121588
28,0.888595,1.143345
29,0.815066,1.293484
30,0.815975,1.291204
31,0.969367,1.032632
32,0.872843,1.170520
33,0.901085,1.123310
34,0.858623,1.197112
35,0.879297,1.159114
36,0.875075,1.166534
37,0.864721,1.185456
38,0.786410,1.372874
39,0.862805,1.189073
40,0.950748,1.054633
41,0.819833,1.281655
42,0.847105,1.220244
43,0.827230,1.263989
44,0.748034,1.507925
45,0.843472,1.227863
46,0.899061,1.126470
47,0.881484,1.155336
48,0.935725,1.073757
49,0.819591,1.282250
50,0.918820,1.096913
51,0.872657,1.170860
52,0.795630,1.345652
53,0.790025,1.361995
54,0.942181,1.065378
55,0.920329,1.094772
56,0.906884,1.114425
57,0.873878,1.168667
58,0.820712,1.279514
59,0.948864,1.056961
60,0.908132,1.112548
61,0.860875,1.192758
62,0.956666,1.047449
63,0.811516,1.302529
64,0.903464,1.119635
65,0.874507,1.167546
66,0.844081,1.226571
67,0.938871,1.069645
68,0.870534,1.174704
69,0.815193,1.293169
70,0.866681,1.181791
71,0.803871,1.322718
72,0.731285,1.580908
73,0.832161,1.252648
74,0.947888,1.058176
75,0.824416,1.270616
76,0.909895,1.109914
77,0.932096,1.078578
78,0.868024,1.179306
79,0.932758,1.077691
80,0.845484,1.223622
81,0.843862,1.227035
82,0.891844,1.138006
83,0.839802,1.235721
84,0.851473,1.211293
85,0.935895,1.073532
86,0.847942,1.218511
87,0.920977,1.093859
88,0.919004,1.096654
89,0.829599,1.258496
90,0.826314,1.266135
91,0.799609,1.334419
92,0.915526,1.101648
93,0.870809,1.174200
94,0.873186,1.169907
95,0.780917,1.389943
96,0.858232,1.197872
97,0.895064,1.132811
98,0.860014,1.194415
99,0.834153,1.248159
100,0.901680,1.122386
101,0.934541,1.075322
102,0.949242,1.056492
103,0.850039,1.214208
104,0.765843,1.440407
105,0.859646,1.195129
106,0.867839,1.179645
107,0.819707,1.281966
108,0.900690,1.123923
109,0.839755,1.235825
110,0.868101,1.179162
111,0.939574,1.068733
112,0.895234,1.132537
113,0.864578,1.185722
114,0.798043,1.338806
115,0.899450,1.125860
116,0.855464,1.203306
117,0.786547,1.372456
118,0.849466,1.215378
119,0.802626,1.326100
120,0.862368,1.189908
121,0.897039,1.129660
122,0.991021,1.009142
123,0.869252,1.177045
