No.,tL,tR
true,0.884956,1.149425
0,0.823888,1.271871
1,0.823874,1.271904
2,0.815521,1.292340
3,0.843466,1.227875
4,0.861857,1.190880
5,0.851081,1.212087
6,0.823140,1.273659
7,0.842404,1.230132
8,0.886915,1.146138
9,0.817088,1.288425
10,0.832970,1.250818
11,0.859543,1.195326
12,0.852182,1.209861
13,0.933466,1.076746
14,0.871194,1.173502
15,0.800963,1.330667
16,0.871589,1.172786
17,0.807926,1.311884
18,0.869194,1.177151
19,0.910888,1.108439
20,0.816882,1.288937
21,0.871992,1.172057
22,0.853707,1.206799
23,0.835654,1.244814
24,0.843374,1.228068
25,0.871299,1.173311
26,0.911019,1.108244
27,0.851850,1.210529
28,0.842722,1.229454
29,0.912747,1.105697
30,0.791791,1.356776
31,0.878606,1.160317
32,0.850037,1.214210
33,0.853933,1.206349
34,0.877675,1.161944
35,0.837886,1.239894
36,0.798931,1.336312
37,0.812882,1.299022
38,0.885043,1.149279
39,0.847397,1.219637
40,0.867303,1.180637
41,0.833805,1.248941
42,0.776870,1.402950
43,0.847745,1.218917
44,0.884554,1.150103
45,0.888549,1.143420
46,0.888376,1.143706
47,0.859522,1.195367
48,0.884887,1.149541
49,0.838390,1.238793
50,0.792603,1.354401
51,0.805627,1.317992
52,0.898257,1.127735
53,0.866343,1.182421
