No.,tL,tR
true,0.884956,1.149425
0,0.914250,1.103501
1,0.913150,1.105107
2,0.888746,1.143093
3,0.892119,1.137561
4,0.937240,1.071768
5,0.925615,1.087385
6,0.901730,1.122309
7,0.890070,1.140910
8,0.953592,1.051156
9,0.885038,1.149286
10,0.912062,1.106705
11,0.923513,1.090300
12,0.920189,1.094971
13,0.966809,1.035551
14,0.931546,1.079313
15,0.909709,1.110189
16,0.945258,1.061472
17,0.887728,1.144782
18,0.943890,1.063203
19,0.973565,1.027910
20,0.906822,1.114519
21,0.923503,1.090315
22,0.937859,1.070960
23,0.917617,1.098635
24,0.910359,1.109222
25,0.948181,1.057811
26,0.955910,1.048353
27,0.935630,1.073882
28,0.939805,1.068433
29,0.964081,1.038699
30,0.902495,1.121125
31,0.920962,1.093878
32,0.913989,1.103881
33,0.922256,1.092058
34,0.937190,1.071834
35,0.915769,1.101296
36,0.881833,1.154736
37,0.897377,1.129126
38,0.960337,1.043080
39,0.917710,1.098502
40,0.896542,1.130450
41,0.901221,1.123098
42,0.879179,1.159319
43,0.898361,1.127571
44,0.924328,1.089166
45,0.933845,1.076243
46,0.957024,1.047017
47,0.909807,1.110043
48,0.938492,1.070135
49,0.933677,1.076466
50,0.880440,1.157133
51,0.899821,1.125279
52,0.956779,1.047311
53,0.925321,1.087791
54,0.920747,1.094181
55,0.918291,1.097669
56,0.907593,1.113357
57,0.967698,1.034533
58,0.952063,1.053021
59,0.928764,1.083071
60,0.930475,1.080754
61,0.898493,1.127364
62,0.930368,1.080898
63,0.930338,1.080938
64,0.905231,1.116932
65,0.974353,1.027033
66,0.927830,1.084344
67,0.888486,1.143524
68,0.900264,1.124588
69,0.920290,1.094828
70,0.853985,1.206245
71,0.953200,1.051633
72,0.972472,1.029132
73,0.907408,1.113636
74,0.940690,1.067292
75,0.931095,1.079919
76,0.916925,1.099629
77,0.942483,1.064993
78,0.919372,1.096129
79,0.902484,1.121143
80,0.962460,1.040587
81,0.886183,1.147361
82,0.894564,1.133611
83,0.971729,1.029965
84,0.898036,1.128083
85,0.905105,1.117124
86,0.945069,1.061711
87,0.908790,1.111560
88,0.918203,1.097796
89,0.907348,1.113726
90,0.924428,1.089029
91,0.901776,1.122237
92,0.926769,1.085797
93,0.879200,1.159282
94,0.909188,1.110966
95,0.915675,1.101432
96,0.920233,1.094909
97,0.922120,1.092248
98,0.936256,1.073058
99,0.938704,1.069861
100,0.940866,1.067066
101,0.909813,1.110034
102,0.911967,1.106845
103,0.891967,1.137808
104,0.890146,1.140785
105,0.949000,1.056793
106,0.903019,1.120318
107,0.899167,1.126305
108,0.927016,1.085458
109,0.958275,1.045524
110,0.885319,1.148812
111,0.938810,1.069723
112,0.897170,1.129453
113,0.920135,1.095047
114,0.935270,1.074357
115,0.884587,1.150048
116,0.907175,1.113987
117,0.921179,1.093572
118,0.902358,1.121338
119,0.898808,1.126867
120,0.976663,1.024480
121,0.900359,1.124440
122,0.891756,1.138152
123,0.962278,1.040800
124,0.892719,1.136587
125,0.901859,1.122109
126,0.885382,1.148708
127,0.920820,1.094078
128,0.909537,1.110446
129,0.952502,1.052483
130,0.952715,1.052224
131,0.912930,1.105429
132,0.912756,1.105684
133,0.937479,1.071457
134,0.889000,1.142674
135,0.958559,1.045186
136,0.909890,1.109920
137,0.935016,1.074691
138,0.935648,1.073858
139,0.933296,1.076972
140,0.953696,1.051030
141,0.930988,1.080062
142,0.890846,1.139638
143,0.901530,1.122619
144,0.957278,1.046713
145,0.945115,1.061653
146,0.958790,1.044912
147,0.874988,1.166689
148,0.942889,1.064475
149,0.912566,1.105963
150,0.928168,1.083883
151,0.879145,1.159378
152,0.904037,1.118756
153,0.939895,1.068318
154,0.956829,1.047251
155,0.957822,1.046064
156,0.909035,1.111194
157,0.912763,1.105674
158,0.996973,1.003046
159,0.899674,1.125510
160,0.919639,1.095750
161,0.889614,1.141660
162,0.933842,1.076247
163,0.915376,1.101865
164,0.944882,1.061946
165,0.912233,1.106453
166,0.901684,1.122380
167,0.924709,1.088639
168,0.887906,1.144486
169,0.971157,1.030609
170,0.944955,1.061854
171,0.904947,1.117364
172,0.873982,1.168481
173,0.921798,1.092700
174,0.909067,1.111147
175,0.883100,1.152572
176,0.965400,1.037172
177,0.952767,1.052161
178,0.930670,1.080491
179,0.932150,1.078503
180,0.929554,1.081999
181,0.936076,1.073295
182,0.855724,1.202793
183,0.948644,1.057235
184,0.906512,1.114988
185,0.896112,1.131134
186,0.894013,1.134496
187,0.897132,1.129513
188,0.914637,1.102937
189,0.936917,1.072191
190,0.930215,1.081105
191,0.952929,1.051963
192,0.934506,1.075366
193,0.902607,1.120953
194,0.916025,1.100925
195,0.939918,1.068288
196,0.906427,1.115116
197,0.927991,1.084125
198,0.926333,1.086396
199,0.913769,1.104201
200,0.898246,1.127753
201,0.923071,1.090918
202,0.909693,1.110213
203,0.885469,1.148561
