No.,tL,tR
true,0.833333,1.250000
0,0.747297,1.510930
1,0.739656,1.543160
2,0.719105,1.641007
3,0.732854,1.573632
4,0.735106,1.563351
5,0.742554,1.530699
6,0.725971,1.606337
7,0.732701,1.574341
8,0.790562,1.360400
9,0.751839,1.492699
10,0.760213,1.460752
11,0.763959,1.447117
12,0.750906,1.496390
13,0.796932,1.341944
14,0.766685,1.437435
15,0.713751,1.669583
16,0.728901,1.592173
17,0.738399,1.548661
18,0.755822,1.477242
19,0.757243,1.471843
20,0.725515,1.608575
21,0.739581,1.543487
22,0.753911,1.484596
23,0.749091,1.503648
24,0.730122,1.586380
25,0.756581,1.474351
26,0.809649,1.307367
27,0.712038,1.679037
28,0.727308,1.599827
29,0.800495,1.331961
30,0.725513,1.608586
31,0.771229,1.421730
32,0.770792,1.423217
33,0.754818,1.481091
34,0.735807,1.560188
35,0.776829,1.403085
36,0.746342,1.514851
37,0.722218,1.625020
38,0.755104,1.479991
39,0.771310,1.421456
40,0.756232,1.475678
41,0.759138,1.464738
42,0.708117,1.701248
43,0.731846,1.578300
44,0.731105,1.581757
45,0.746643,1.513612
46,0.741352,1.535831
47,0.733991,1.568415
48,0.722909,1.621532
49,0.702014,1.737536
50,0.698068,1.762193
51,0.714807,1.663833
52,0.765873,1.440299
53,0.753211,1.487317
54,0.731991,1.577629
55,0.780732,1.390529
56,0.738056,1.550174
57,0.744110,1.524129
58,0.783587,1.381565
59,0.721287,1.629752
60,0.728926,1.592058
61,0.743619,1.526195
62,0.738950,1.546243
63,0.743264,1.527689
64,0.727586,1.598487
65,0.727738,1.597754
66,0.726277,1.604838
67,0.708224,1.700633
68,0.728777,1.592768
69,0.727966,1.596653
70,0.700063,1.749608
71,0.737487,1.552690
72,0.798576,1.337308
73,0.767258,1.435425
74,0.731388,1.580437
75,0.763942,1.447177
76,0.805956,1.317111
77,0.708944,1.696495
78,0.770710,1.423496
79,0.748452,1.506230
80,0.774703,1.410073
81,0.695444,1.779138
82,0.716816,1.653054
83,0.719221,1.640402
84,0.764411,1.445498
85,0.762468,1.452498
86,0.766765,1.437154
87,0.724264,1.614760
88,0.710455,1.687904
89,0.725973,1.606326
90,0.773411,1.414375
91,0.747048,1.511951
92,0.769970,1.426030
93,0.725571,1.608299
94,0.733752,1.569511
95,0.729518,1.589241
96,0.738820,1.546813
97,0.754994,1.480414
98,0.758011,1.468951
99,0.714224,1.667005
100,0.736969,1.554991
101,0.767741,1.433738
102,0.727514,1.598832
103,0.738385,1.548725
104,0.739879,1.542194
105,0.744844,1.521057
106,0.726739,1.602591
107,0.722216,1.625030
108,0.727968,1.596647
109,0.802149,1.327407
110,0.728243,1.595322
111,0.766256,1.438947
112,0.732868,1.573572
113,0.730598,1.584138
114,0.730910,1.582671
115,0.715976,1.657536
116,0.730111,1.586432
117,0.732651,1.574569
118,0.722206,1.625082
119,0.712369,1.677194
120,0.791521,1.357571
121,0.734717,1.565112
122,0.723578,1.618177
123,0.751971,1.492180
124,0.752865,1.488670
125,0.716425,1.655133
126,0.695770,1.777008
127,0.691492,1.805538
128,0.780732,1.390529
129,0.751005,1.495995
130,0.724214,1.615007
131,0.719762,1.637594
132,0.719898,1.636892
133,0.758019,1.468922
134,0.720090,1.635897
135,0.771574,1.420558
136,0.732833,1.573731
137,0.785987,1.374166
138,0.766790,1.437067
139,0.730322,1.585436
140,0.789931,1.362275
141,0.751567,1.493773
142,0.734797,1.564749
143,0.705663,1.715579
144,0.729096,1.591245
145,0.759959,1.461692
146,0.763926,1.447234
147,0.712202,1.678123
148,0.754495,1.482339
149,0.711895,1.679832
150,0.777324,1.401472
151,0.691056,1.808516
152,0.770216,1.425186
153,0.810507,1.305135
154,0.765110,1.443006
155,0.767827,1.433437
156,0.759562,1.463160
157,0.736153,1.558634
158,0.826957,1.264626
159,0.696582,1.771734
160,0.726158,1.605421
161,0.697192,1.767803
162,0.774637,1.410294
163,0.774981,1.409154
164,0.757706,1.470099
165,0.709190,1.695084
166,0.756192,1.475830
167,0.782919,1.383646
168,0.740298,1.540374
169,0.716781,1.653239
170,0.764739,1.444326
171,0.698447,1.759784
172,0.725878,1.606791
173,0.727155,1.600571
174,0.780661,1.390755
175,0.735066,1.563531
176,0.764118,1.446547
177,0.737627,1.552071
178,0.758153,1.468419
179,0.712660,1.675588
180,0.707806,1.703045
181,0.749074,1.503717
182,0.698511,1.759375
183,0.730962,1.582428
184,0.722994,1.621108
185,0.735642,1.560930
186,0.738195,1.549559
187,0.761589,1.455697
188,0.734814,1.564671
189,0.761784,1.454987
190,0.810792,1.304398
191,0.737751,1.551522
192,0.744134,1.524028
193,0.698068,1.762190
194,0.725251,1.609874
195,0.728140,1.595818
196,0.741007,1.537315
197,0.717166,1.651190
198,0.765574,1.441357
199,0.704953,1.719790
200,0.730861,1.582901
201,0.744155,1.523940
202,0.765946,1.440042
203,0.747773,1.508987
204,0.815023,1.293593
205,0.754704,1.481530
206,0.696155,1.774505
207,0.719576,1.638559
208,0.724275,1.614704
209,0.707753,1.703349
210,0.743479,1.526782
211,0.748902,1.504412
212,0.803658,1.323294
213,0.724635,1.612917
214,0.734195,1.567485
215,0.716913,1.652535
216,0.744946,1.520634
217,0.752356,1.490662
218,0.719401,1.639469
219,0.744090,1.524211
220,0.716800,1.653138
221,0.728845,1.592444
222,0.703372,1.729275
223,0.687368,1.834275
224,0.734872,1.564410
225,0.726440,1.604044
226,0.736840,1.555564
227,0.757206,1.471985
228,0.742397,1.531365
229,0.775519,1.407377
230,0.721906,1.626604
231,0.739491,1.543881
232,0.818766,1.284274
233,0.707432,1.705215
234,0.719467,1.639125
235,0.731124,1.581671
236,0.811317,1.303041
237,0.716176,1.656463
238,0.723463,1.618753
239,0.692691,1.797414
240,0.763412,1.449084
241,0.739958,1.541848
242,0.729523,1.589217
243,0.707573,1.704396
244,0.697368,1.766669
245,0.761141,1.457335
246,0.794020,1.350282
247,0.711062,1.684483
248,0.719766,1.637572
249,0.721953,1.626363
250,0.724120,1.615474
251,0.761692,1.455321
252,0.709597,1.692766
253,0.784774,1.377888
254,0.752128,1.491561
255,0.722214,1.625041
256,0.695924,1.776004
257,0.713681,1.669969
258,0.724875,1.611728
259,0.713191,1.672660
260,0.742589,1.530549
261,0.699281,1.754511
262,0.729695,1.588400
263,0.751666,1.493380
264,0.754576,1.482024
265,0.711225,1.683573
266,0.799822,1.333829
267,0.703379,1.729232
268,0.735490,1.561616
269,0.743049,1.528601
270,0.739211,1.545104
271,0.726531,1.603603
272,0.768556,1.430906
273,0.747998,1.508071
274,0.756174,1.475900
275,0.760105,1.461152
276,0.809304,1.308265
277,0.735248,1.562707
278,0.770805,1.423172
279,0.777740,1.400122
280,0.753426,1.486479
281,0.755488,1.478518
282,0.745822,1.516997
283,0.722611,1.623037
284,0.734791,1.564775
285,0.693004,1.795312
286,0.751822,1.492763
287,0.727685,1.598010
288,0.747479,1.510188
289,0.740377,1.540034
290,0.724353,1.614317
291,0.771451,1.420975
292,0.736694,1.556216
293,0.749398,1.502414
294,0.762093,1.453858
295,0.705408,1.717089
296,0.728345,1.594833
297,0.720966,1.631395
298,0.746847,1.512772
299,0.730958,1.582448
300,0.703179,1.730443
301,0.712345,1.677329
302,0.787262,1.370285
303,0.708719,1.697782
304,0.746770,1.513089
305,0.737473,1.552752
306,0.749773,1.500908
307,0.724626,1.612963
308,0.750184,1.499266
309,0.727066,1.601003
310,0.783550,1.381679
311,0.758360,1.467640
312,0.800450,1.332085
313,0.775912,1.406086
314,0.808843,1.309474
315,0.779082,1.395794
316,0.743555,1.526462
317,0.733187,1.572103
318,0.721283,1.629776
319,0.714690,1.664469
320,0.735883,1.559845
321,0.713636,1.670214
322,0.797298,1.340908
323,0.792091,1.355899
324,0.734508,1.566062
325,0.704939,1.719873
326,0.747730,1.509162
327,0.730452,1.584826
328,0.759324,1.464045
329,0.743288,1.527587
330,0.774355,1.411228
331,0.724864,1.611783
332,0.723953,1.616305
333,0.726932,1.601653
334,0.759529,1.463285
335,0.732127,1.576996
336,0.743679,1.525939
337,0.768478,1.431174
338,0.768394,1.431468
339,0.731329,1.580712
340,0.734016,1.568304
341,0.761569,1.455770
342,0.774789,1.409789
343,0.718622,1.643529
344,0.677242,1.910500
345,0.720886,1.631808
346,0.707498,1.704834
347,0.761831,1.454813
348,0.755045,1.480219
349,0.754053,1.484046
350,0.730203,1.586000
351,0.787858,1.368484
352,0.693175,1.794161
353,0.756710,1.473860
354,0.772890,1.416122
355,0.730988,1.582307
356,0.711879,1.679920
357,0.754091,1.483900
358,0.697958,1.762896
359,0.737706,1.551721
360,0.768493,1.431122
361,0.703876,1.726236
362,0.730828,1.583058
363,0.711476,1.682170
364,0.737037,1.554689
365,0.726497,1.603765
366,0.732281,1.576282
367,0.712140,1.678466
368,0.732585,1.574874
369,0.754008,1.484221
370,0.752846,1.488745
371,0.740751,1.538417
372,0.754316,1.483031
373,0.744983,1.520477
374,0.779555,1.394279
375,0.766000,1.439850
376,0.774341,1.411273
377,0.753319,1.486900
378,0.718099,1.646269
379,0.727160,1.600544
380,0.717647,1.648649
381,0.778418,1.397932
382,0.767604,1.434215
383,0.732897,1.573435
384,0.695540,1.778513
385,0.745501,1.518326
386,0.775284,1.408152
387,0.738450,1.548437
388,0.725239,1.609931
389,0.704581,1.722008
390,0.708099,1.701352
391,0.709806,1.691577
392,0.750916,1.496351
393,0.723080,1.620674
394,0.750272,1.498915
395,0.764360,1.445679
396,0.723675,1.617691
397,0.736287,1.558037
398,0.791254,1.358357
399,0.746346,1.514835
400,0.754439,1.482554
401,0.730390,1.585115
402,0.767866,1.433302
403,0.711809,1.680309
404,0.717844,1.647612
405,0.758733,1.466248
406,0.729072,1.591361
407,0.813600,1.297194
408,0.725627,1.608025
409,0.728886,1.592247
410,0.719045,1.641317
411,0.742845,1.529463
412,0.729304,1.590257
413,0.758816,1.465936
414,0.767749,1.433710
415,0.726245,1.604997
416,0.736204,1.558405
417,0.729562,1.589031
418,0.682171,1.872336
419,0.747585,1.509755
420,0.730574,1.584252
421,0.754357,1.482869
422,0.794842,1.347913
423,0.750942,1.496245
424,0.696230,1.774018
425,0.681839,1.874845
426,0.726360,1.604436
427,0.752240,1.491121
428,0.719973,1.636504
429,0.707569,1.704421
430,0.734110,1.567875
431,0.817421,1.287599
432,0.738767,1.547047
433,0.733293,1.571613
434,0.731627,1.579322
435,0.731404,1.580363
436,0.757329,1.471519
437,0.711078,1.684396
438,0.738020,1.550332
439,0.705361,1.717369
440,0.748761,1.504981
441,0.731366,1.580540
442,0.753342,1.486808
443,0.731993,1.577616
444,0.743322,1.527445
445,0.724493,1.613622
446,0.728086,1.596078
447,0.710800,1.685956
448,0.776588,1.403872
449,0.710974,1.684979
450,0.715634,1.659371
451,0.713789,1.669379
452,0.694183,1.787445
453,0.760925,1.458130
454,0.783933,1.380489
455,0.824571,1.270248
